z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,10.2434047508,0.0,1450.0,0.2322448294848618,5.7446668315e-07,3.20114186288e-09,9.3788740093e-10,0.190113223449,2.47873636618e-09,1.04567155618e-06,6.33872266519e-08,2.69075747984e-09,-3.33640515409e-15,6.56834363047e-18,7.02500816398e-13,1.04563362846e-13,6.89743284461e-07,0.095055444504,2.49256952591e-08,4.61930999106e-10,5.57047455288e-12,4.49882792626e-07,3.62156133787e-14,1.64075099594e-10,3.70781520266e-09,1.47451642193e-19,7.19153846141e-12,9.76554107244e-15,8.29078978662e-09,5.82801359346e-11,4.9800132486e-08,2.24862113089e-17,7.18292621109e-12,2.16638554975e-15,2.82143371072e-15,1.813030816e-19,2.13068408325e-17,-1.3091095924e-16,6.22615498111e-16,5.6295772527e-16,7.34385961639e-16,1.82203322165e-12,9.79145732722e-20,-9.40754657068e-16,8.34378297365e-17,2.46979653575e-21,1.05724656436e-20,-8.71042589077e-20,4.71563686288e-16,8.18253857624e-16,-9.70236606672e-18,0.714828412151,-2.42809081926e-109,2.5673456987e-16,4.11472573022e-12,8.89363833692e-15,2.76627833043e-13
0.0015,10.2440912152,0.0,1450.08222299,0.2322292665812426,8.70081965143e-06,3.04217247193e-08,3.18093430328e-08,0.190073848857,8.56355134449e-08,4.14148881777e-05,3.27707642232e-06,1.40037369872e-07,-2.96510789454e-19,2.08573891444e-16,3.31254623321e-11,4.80056901281e-12,3.23749638937e-05,0.0949867790356,1.29746016075e-06,2.93833596893e-08,3.29504754916e-10,2.68273564282e-05,2.20183755635e-12,9.97544091542e-09,2.26218998793e-07,8.92435969233e-18,4.39782820349e-10,6.02708579051e-13,5.11776263227e-07,3.91074324143e-09,3.36882871765e-06,9.38466390092e-16,5.03448992299e-10,7.23180321799e-15,4.98373970838e-17,5.84454005561e-18,2.09572879547e-17,-1.30606940598e-16,3.31960703449e-14,2.96988838866e-14,1.03869239197e-15,1.1760299741e-10,5.06414671838e-18,-6.11560372131e-19,5.65325029903e-16,1.50080405523e-19,4.4125158351e-19,-8.32293810959e-20,4.70955635742e-16,8.13959652899e-16,-6.65033727222e-16,0.714821039738,-1.57372423344e-108,2.2179587611e-14,3.56683286478e-10,6.26189552145e-13,1.95684640443e-11
0.003,10.2468690013,0.0,1450.45346511,0.2321663124041612,2.91567905341e-05,8.20901386776e-08,7.61843293788e-08,0.189986836727,2.0718151005e-07,0.000137250151958,4.97570699557e-06,2.28397480441e-07,8.96938571083e-22,6.15538801124e-16,1.77744722568e-10,2.60171590453e-11,7.34336453854e-05,0.0948378283959,7.52659317396e-06,1.77538156708e-07,1.71021494833e-09,8.86047942331e-05,1.24259204504e-11,2.75291751076e-08,8.331402367e-07,1.67082922552e-16,3.39250924291e-09,8.4864607619e-12,3.08118245148e-06,2.11360240335e-08,1.94152052545e-05,2.39495243766e-14,6.52338047685e-09,8.44263753973e-14,9.67901428217e-17,3.81247578681e-17,2.01021364155e-17,-1.29713211625e-16,8.68800519103e-14,9.38218154303e-14,2.44498421403e-15,2.95808571549e-10,3.29830564033e-17,-3.69758345363e-22,2.19833241588e-15,6.77472694181e-19,1.32467182625e-18,-2.87136075588e-20,4.69365204297e-16,8.0446177108e-16,-4.57473390498e-16,0.714810220985,-3.08752789014e-108,3.21157973726e-13,4.23363562646e-09,8.83255996188e-12,2.3566460468e-10
0.00375,10.2489489926,0.0,1450.73589476,0.23211919499767658,4.36085906881e-05,1.15020833006e-07,1.00207608953e-07,0.189929679977,2.74382010794e-07,0.000201051185166,5.74204038552e-06,2.69745534703e-07,2.01441488907e-21,9.5808783539e-16,2.95276603328e-10,4.34836250524e-11,9.33625772397e-05,0.0947410211192,1.2875084958e-05,3.01215612132e-07,2.93669569636e-09,0.000128425893089,2.15124797777e-11,3.78022861175e-08,1.2515615734e-06,4.02071000955e-16,6.15174436472e-09,1.86194452571e-11,5.21268372113e-06,3.50516579984e-08,3.22922319495e-05,6.21854412209e-14,1.31715075936e-08,1.77933933234e-13,1.27947757674e-16,7.10256608723e-17,1.96032003367e-17,-1.29071061174e-16,1.20921830352e-13,1.37010305216e-13,3.6317080523e-15,3.99718916513e-10,6.11998293663e-17,6.66603262633e-23,3.51952507539e-15,1.13800115218e-18,2.0666362188e-18,3.78086218355e-20,4.68258487527e-16,7.98945893248e-16,-3.7038988361e-16,0.714804311749,-4.47036936726e-108,7.07254696182e-13,8.35077805237e-09,1.93904477359e-11,4.70994391662e-10
0.0045,10.2517777172,0.0,1451.12322423,0.23205514744774886,6.26651105277e-05,1.52378918919e-07,1.24663807085e-07,0.189858190494,3.45010012187e-07,0.000281413935832,6.60808078947e-06,3.17042470024e-07,4.01791744307e-21,1.44214654382e-15,4.37785563286e-10,6.491277926e-11,0.000111797244283,0.0946214210516,2.12579963404e-05,4.85173637238e-07,4.65062772004e-09,0.000176581984766,3.42921841774e-11,4.9046354258e-08,1.79383924105e-06,9.02962797936e-16,1.09603789901e-08,3.66425571199e-11,8.36307362169e-06,5.20442625279e-08,5.04591613489e-05,1.51331349097e-13,2.62057518723e-08,3.86565465209e-13,1.60647045374e-16,1.2053543483e-16,1.91611112291e-17,-1.28191125479e-16,1.59590427817e-13,1.92125131768e-13,5.53118136774e-15,5.20197361102e-10,1.04132143839e-16,1.38859340626e-22,5.51099709761e-15,1.70995751609e-18,3.10772329597e-18,1.75410348771e-19,4.66810511796e-16,7.92979318705e-16,-2.97283119444e-16,0.714797863288,-5.90373658479e-108,1.393148304e-12,1.55285946612e-08,3.81755478548e-11,9.00623380173e-10
0.00525,10.2554150862,0.0,1451.62296541,0.23197284261972614,8.69539079838e-05,1.9463459035e-07,1.49672725754e-07,0.189771272247,4.20326415802e-07,0.000379603994915,7.63513839115e-06,3.74729854291e-07,7.53858654796e-21,2.11774147219e-15,6.03230202456e-10,9.01278538534e-11,0.000128653668641,0.0944778744464,3.3600176812e-05,7.40571361698e-07,6.91514070062e-09,0.000232653553227,5.17569096425e-11,6.15790297692e-08,2.47291889965e-06,1.89706396204e-15,1.88486030784e-08,6.58623054536e-11,1.26975299674e-05,7.18507194422e-08,7.40666435952e-05,3.41315207216e-13,4.9563397812e-08,8.22172145142e-13,1.95453104309e-16,1.91923596772e-16,1.91172755866e-17,-1.26980715022e-16,2.03435114081e-13,2.60400714441e-13,8.47541834909e-15,6.60249354522e-10,1.66172925683e-16,2.64387619359e-22,8.38583881822e-15,2.39161111445e-18,4.54970657741e-18,4.31665290233e-19,4.64989136227e-16,7.87034930357e-16,-2.3575629379e-16,0.714790397304,-7.78171206291e-108,2.49711007896e-12,2.66301030617e-08,6.86032856275e-11,1.60469565979e-09
0.006,10.2599312565,0.0,1452.24359463,0.23187073386228982,0.00011724659308,2.42789864209e-07,1.7581027533e-07,0.189667385033,5.02393617562e-07,0.000497388717354,8.84023972491e-06,4.44999898521e-07,1.35978216103e-20,3.06110171929e-15,7.93929256064e-10,1.19579394347e-10,0.000144303733925,0.0943086177842,5.0957839739e-05,1.08059394293e-06,9.81330356035e-09,0.00029642738519,7.52593967913e-11,7.579898392e-08,3.30545594092e-06,3.76055932212e-15,3.11610332616e-08,1.10555834311e-10,1.839871085e-05,9.47793613207e-08,0.000103135542725,7.18428363717e-13,8.86612460742e-08,1.68003752342e-12,2.33675926754e-16,2.93191814047e-16,2.1488821268e-17,-1.24583724473e-16,2.53525935851e-13,3.43670444597e-13,1.29175267557e-14,8.23307639143e-10,2.54217712927e-16,4.7610824981e-22,1.24301458691e-14,3.20192278772e-18,6.54888202809e-18,8.76275609372e-19,4.6276119273e-16,7.81767017783e-16,-1.83727531054e-16,0.714781198868,-9.74848266883e-108,4.16688957921e-12,4.25664803717e-08,1.15050836515e-10,2.68317712677e-09
0.00675,10.2654093615,0.0,1452.99501907,0.23174699674054308,0.000154554201277,2.98387833233e-07,2.03916227096e-07,0.189544622724,5.93895582735e-07,0.000636821422319,1.02316783418e-05,5.29530988217e-07,2.39903193247e-20,4.39231608397e-15,1.01655891846e-09,1.54372192012e-10,0.000159283648721,0.094111492333,7.44833365983e-05,1.52134271785e-06,1.34625598957e-08,0.000367862161203,1.06628628429e-10,9.21944431877e-08,4.31071760763e-06,7.09680954338e-15,4.95629358689e-08,1.76544033818e-10,2.56777014124e-05,1.21661049718e-07,0.000137663739024,1.42618608892e-12,1.50571941413e-07,3.27325865939e-12,2.77209529501e-16,4.36056770672e-16,5.45345549049e-17,-1.05551629244e-16,3.11491740295e-13,4.44410727258e-13,1.9430889322e-14,1.01283239959e-09,3.78351041276e-16,8.25576968882e-22,1.80280443057e-14,4.18303968671e-18,9.35176981123e-18,1.61548343674e-18,4.60097206223e-16,7.78113324063e-16,-1.39276130388e-16,0.714769350494,-1.21603492243e-107,6.59935599782e-12,6.4390714684e-08,1.83408099281e-10,4.2634781217e-09
0.007125,10.2684315811,0.0,1453.40747815,0.23167878863182712,0.000176414925059,3.2918165913e-07,2.18844782086e-07,0.189477661262,6.43430111242e-07,0.000712750028225,1.09803082755e-05,5.76341146709e-07,3.16307891857e-20,5.24814888989e-15,1.14176499003e-09,1.74081283843e-10,0.00016666197871,0.0940049848428,8.81012436245e-05,1.77161386366e-06,1.55760200722e-08,0.000405590987822,1.25536514485e-10,1.0124172099e-07,4.86243826289e-06,9.43311926182e-15,6.06879409531e-08,2.18250731996e-10,2.97748773533e-05,1.36746118953e-07,0.00015636471938,1.93256002533e-12,1.88978925464e-07,4.33619335351e-12,3.01381030483e-16,5.25750191108e-16,2.67929713774e-16,2.23560548522e-17,3.43635174799e-13,5.00159740708e-13,2.33589096319e-14,1.11502988104e-09,4.55757093029e-16,1.06451161855e-21,2.13578916813e-14,4.75151947969e-18,1.11459761059e-17,2.19297139884e-18,4.58654431534e-16,7.77754789178e-16,-1.18745269578e-16,0.714761724422,-1.3469092007e-107,8.11657557321e-12,7.70923491534e-08,2.26475518127e-10,5.2156672141e-09
0.0075,10.2717815511,0.0,1453.85806972,0.23160323046710518,0.000205075896361,3.62927183066e-07,2.34725624513e-07,0.189404182279,6.96651956646e-07,0.000795173152872,1.17830324747e-05,6.27677015819e-07,4.17342795194e-20,6.27887324733e-15,1.27897058565e-09,1.95785354003e-10,0.000174040217279,0.0938898832222,0.000103736000099,2.0545601938e-06,1.79399126464e-08,0.000445334072092,1.47348944657e-10,1.11052646434e-07,5.46629367253e-06,1.24845675323e-14,7.40242406939e-08,2.68325119487e-10,3.43628795608e-05,1.53294722734e-07,0.000176495584134,2.6072913558e-12,2.36152256199e-07,5.73902588329e-12,3.27973189403e-16,6.33712526056e-16,2.23305026638e-15,1.38153073702e-15,3.78889916932e-13,5.64311027921e-13,2.81502039556e-14,1.22509445391e-09,5.49878666143e-16,1.39263036052e-21,2.56915352394e-14,5.39115437474e-18,1.33007281341e-17,4.68286928359e-18,4.57227896537e-16,7.91109674894e-16,-9.93299113073e-17,0.714749796832,-1.46221026331e-107,9.925344848e-12,9.17644955987e-08,2.78080308895e-10,6.35505334345e-09
