z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,5.16057262401,-1.42094000603e-182,1113.0,0.30256533087031673,8.10823599546e-09,1.9338841855e-12,3.39618975503e-13,0.190114049955,1.02073280695e-12,2.55788018217e-08,2.15414376421e-10,4.88027270783e-11,4.61214113577e-16,7.38611608133e-24,3.27921914363e-17,4.46649709124e-18,1.48793019047e-09,0.0950570041553,1.3283591088e-09,2.58769935627e-12,3.0799174657e-15,1.219283645e-08,1.00780863047e-17,1.4229880838e-13,8.58755930173e-11,-5.66071524175e-15,1.6694354031e-14,1.61763785901e-18,8.71512781626e-11,1.55117679878e-14,3.2974716155e-09,2.25368394477e-21,9.95094007328e-14,-2.50825652725e-15,-1.44055929427e-14,2.18679223548e-24,1.57589419132e-15,1.24505986806e-16,1.81323472586e-19,-5.72317697638e-18,-1.15096395964e-14,5.4680093679e-15,1.76722722313e-24,9.72222486384e-18,-2.5214366549e-16,-6.07687196107e-25,-6.6474673556e-27,7.54954672137e-19,-3.28523665507e-16,2.37304978947e-17,4.26191727084e-22,0.714828893453,-2.70594302637e-172,2.24681994638e-18,3.6864675361e-14,1.4793666615e-17,4.13790745565e-16
0.079,5.16177137177,1.60924387946e-174,1113.25892891,0.3024950643885944,4.72388179224e-06,6.99033939103e-10,4.60419422967e-10,0.190076595266,1.41035529365e-09,4.12339759765e-05,4.4996382362e-07,1.02644277871e-07,3.24934128099e-22,8.93289416341e-22,6.0744778476e-14,8.27381045475e-15,2.81927736162e-06,0.0950028835249,2.79370265025e-06,6.69813649923e-09,7.44663225006e-12,2.97229989751e-05,2.50313796419e-14,3.53433716455e-10,2.14195791372e-07,-1.17826125424e-20,2.11704264267e-11,4.05722904773e-15,2.19006733276e-07,4.23986120345e-11,9.08724909347e-06,3.78738384508e-18,2.79948744205e-10,-2.44485619424e-15,-8.51151124663e-19,2.81471384866e-21,1.36888843315e-15,3.2329810995e-16,3.90516109379e-16,-1.21383458109e-14,-1.3711411696e-14,1.43608056993e-11,3.69438938975e-21,4.07290068816e-23,-2.82682768323e-16,-1.49468517591e-21,5.73691880407e-24,7.54166237104e-19,-3.27953496595e-16,2.47537694989e-17,1.10821623793e-18,0.714829144204,-5.2837313438e-170,7.9353428272e-15,1.20738809661e-10,4.26336693704e-14,3.44034379539e-13
0.158,5.16383628726,3.3577590702e-174,1113.70368951,0.3023741026252374,1.41857616243e-05,1.40159396379e-09,7.47851019734e-10,0.190016013056,2.32818651007e-09,0.000109545910006,7.49368655455e-07,1.88277191939e-07,2.98484078564e-28,2.54703190452e-21,1.28411900302e-13,1.78687787593e-14,3.83219380846e-06,0.0949156596929,1.11173942342e-05,2.51033243083e-08,2.22864374633e-11,7.28220437485e-05,1.0271807997e-13,7.05334780385e-10,6.38007404613e-07,8.20512314062e-21,1.22491322963e-10,2.02788134637e-14,7.75345525046e-07,1.08095181952e-10,2.56734787538e-05,3.9242489832e-17,1.69976592044e-09,-1.88278588816e-15,8.06159653232e-22,8.36083635201e-21,9.60330014884e-16,7.20227078724e-16,7.83505566225e-16,-9.41794918157e-15,-1.63517617515e-14,3.83531228936e-11,9.12976246881e-21,-1.03719141961e-26,-2.84572945221e-16,-1.79356942822e-23,1.63340243546e-23,7.5270478628e-19,-3.26814361776e-16,2.73544716146e-17,1.20785003824e-19,0.714828766655,-1.10260745289e-169,3.80668189347e-14,5.35682247165e-10,2.15901723926e-13,1.73667445871e-12
0.237,5.16697465637,8.24950443621e-174,1114.37584107,0.3021904435974892,3.05693426582e-05,2.41748106757e-09,1.10726649302e-09,0.189925333481,3.50115052004e-09,0.000212846930191,1.12200480403e-06,3.06406102657e-07,3.13306968399e-28,6.67089325127e-21,2.26375594047e-13,3.21111786532e-14,4.7336969191e-06,0.0947867943556,2.86664623257e-05,7.05231865279e-08,4.713679831e-11,0.000129925540445,2.786835913e-13,1.21408981836e-09,1.36046227118e-06,4.46730826726e-20,4.40710139189e-10,6.52712494982e-14,1.93008511573e-06,2.25218002369e-10,5.05801796743e-05,2.26362706056e-16,6.34272164961e-09,1.11444399755e-15,1.29461390324e-21,2.21058577489e-20,5.12016150887e-16,1.15719981513e-15,1.35321856446e-15,-6.79244600297e-15,-1.88014599178e-14,7.46031190121e-11,2.23761650553e-20,-1.60972621279e-26,-2.86431801979e-16,-1.39550234179e-23,4.26974491184e-23,7.50429173e-19,-3.24861082205e-16,3.05999337003e-17,1.54177616402e-20,0.714825743559,-2.70644893573e-169,1.16468830418e-13,1.59310016784e-09,7.03766073836e-13,5.95012933507e-12
0.2765,5.16887697183,1.4202935186e-173,1114.782175,0.3020792276494718,4.10245423753e-05,3.07214783923e-09,1.32654045125e-09,0.189870650477,4.22302773815e-09,0.000275356290919,1.33065937606e-06,3.78881435768e-07,6.31052736157e-28,1.05710510951e-20,2.93297291841e-13,4.19494007063e-14,5.19927219702e-06,0.0947096860699,4.05730836402e-05,1.04569489468e-07,6.40429991239e-11,0.000162441532719,4.17151282573e-13,1.54265940913e-09,1.81747916193e-06,8.48509336188e-20,6.91468034975e-10,1.03813980242e-13,2.72700090334e-06,3.11326036357e-10,6.54720926327e-05,4.38425619732e-16,1.00661539304e-08,3.9476450855e-15,1.57113680157e-21,3.43930343549e-20,3.24500176506e-16,1.34006645243e-15,1.72115339475e-15,-5.62018168569e-15,-1.98452864546e-14,9.62605993844e-11,3.46795980701e-20,-1.95610581888e-26,-2.87327927693e-16,-1.11908313627e-23,6.75879252439e-23,7.49052262669e-19,-3.23624379457e-16,3.18122045054e-17,8.4926822631e-21,0.714823214251,-4.64244769882e-169,1.80174981077e-13,2.39274081751e-09,1.12569816729e-12,9.43239494768e-12
0.316,5.17118824754,2.01210789465e-173,1115.27454045,0.3019442125728435,5.43310300071e-05,3.89054600895e-09,1.59246003373e-09,0.189804500768,5.10386463472e-09,0.00035118766736,1.56854081337e-06,4.67106774632e-07,1.28012474398e-27,1.69291909383e-20,3.80989545417e-13,5.49230153691e-14,5.7079450631e-06,0.0946172303773,5.65133671895e-05,1.5583776762e-07,8.58700418075e-11,0.000199551572303,6.11998727203e-13,1.95357909201e-09,2.39350488933e-06,1.6159004259e-19,1.0848854009e-09,1.64283973969e-13,3.82479759871e-06,4.29655162799e-10,8.32374651071e-05,8.52012098619e-16,1.6008404586e-08,9.31628059503e-15,1.91636163075e-21,5.35667646562e-20,1.8530387314e-16,1.47582903233e-15,2.18198332895e-15,-4.62260313685e-15,-2.06529353749e-14,1.22039406643e-10,5.44498015592e-20,-2.382316998e-26,-2.88183009146e-16,-8.06373117705e-24,1.08105227356e-22,7.47383118581e-19,-3.22065447247e-16,3.23963330536e-17,1.19567949406e-20,0.714819296131,-6.57005283095e-169,2.76386696367e-13,3.59838986964e-09,1.79102685957e-12,1.51798951391e-11
0.3555,5.17401097029,2.84306920569e-173,1115.87424401,0.3017794845114271,7.12871026783e-05,4.92718678866e-09,1.92016972411e-09,0.189724030154,6.19629520724e-09,0.000443648045167,1.84300429018e-06,5.75746415859e-07,2.63527299879e-27,2.75105338736e-20,4.98212586855e-13,7.2363385672e-14,6.27395738953e-06,0.0945058726929,7.77098815851e-05,2.33469108977e-07,1.14385436891e-10,0.000242090291941,8.86962655266e-13,2.47429639292e-09,3.11934949805e-06,3.09432493045e-19,1.70240926761e-09,2.59971118425e-13,5.34018123184e-06,5.943364261e-10,0.000104445529749,1.66465741041e-15,2.54931152913e-08,1.95401926354e-14,2.3568922084e-21,8.36269396238e-20,9.4440824704e-17,1.56442978063e-15,2.7670404099e-15,-3.81064256662e-15,-2.11808450937e-14,1.52704420778e-10,8.60547865082e-20,-2.91551601287e-26,-2.88980831466e-16,-4.51911501607e-24,1.75417790782e-22,7.45346346801e-19,-3.20102701688e-16,3.22369004058e-17,2.00039709301e-20,0.714813481569,-9.2800940502e-169,4.22227798435e-13,5.42073813791e-09,2.84831868565e-12,2.47193143175e-11
0.395,5.17748509608,4.00524555638e-173,1116.6103482,0.30157698853723297,9.29878144721e-05,6.26068768416e-09,2.33101221387e-09,0.189625342254,7.57565301859e-09,0.000557242713047,2.16431630487e-06,7.1158944254e-07,5.54936004183e-27,4.55767517424e-20,6.58351248231e-13,9.63097672926e-14,6.91407511423e-06,0.094370816426,0.000105855842503,3.51883485456e-07,1.52220674954e-10,0.00029116339074,1.27843483382e-12,3.14439716819e-09,4.036598849e-06,5.98545903392e-19,2.67671066796e-09,4.13472124356e-13,7.44365948877e-06,8.27104014025e-10,0.000129839346655,3.28311829071e-15,4.07078258933e-08,3.9183211457e-14,2.93308477658e-21,1.3117940762e-19,4.28106070302e-17,1.61473551921e-15,3.52172685366e-15,-3.17020496465e-15,-2.13914175033e-14,1.89270863188e-10,1.36585209684e-19,-3.59463645467e-26,-2.89679260589e-16,-3.14063095826e-25,2.90106314361e-22,7.42836176409e-19,-3.17627578034e-16,3.13262022028e-17,3.28442671664e-20,0.714805057981,-1.3055851741e-168,6.44997773398e-13,8.19527425999e-09,4.54981858986e-12,4.07376299376e-11
0.41475,5.17941152942,4.62563549475e-173,1117.01797921,0.30146481981711676,0.000105243644583,7.03835306116e-09,2.56628668733e-09,0.189570706502,8.37038847332e-09,0.000620172037696,2.33942992079e-06,7.89074886588e-07,8.01826663799e-27,5.85664477432e-20,7.56258974125e-13,1.11000774578e-13,7.25378598728e-06,0.0942964820059,0.000122002784487,4.24438622697e-07,1.74831702362e-10,0.00031751931708,1.52307098677e-12,3.53577024338e-09,4.55095243098e-06,8.13543344494e-19,3.28151532421e-09,5.1512489198e-13,8.6782636539e-06,9.71984283485e-10,0.000143708692943,4.49753458567e-15,5.02279851176e-08,5.24936566312e-14,3.27474325497e-21,1.63189287959e-19,2.58576079518e-17,1.63124106686e-15,3.96282664183e-15,-2.89170764424e-15,-2.14064832712e-14,2.09203617245e-10,1.7071437791e-19,-3.98861293681e-26,-2.89987431381e-16,2.1680343661e-24,3.72432007505e-22,7.4144462809e-19,-3.16242067299e-16,3.06755228882e-17,4.09566558615e-20,0.714800042734,-1.50771268463e-168,7.86481815072e-13,9.89983084761e-09,5.67858930052e-12,5.10895753443e-11
0.4345,5.18155365925,5.2654269707e-173,1117.4706479,0.301340189865334,0.000119111060999,7.92777453222e-09,2.83226363454e-09,0.189510045052,9.27286549592e-09,0.000690080242327,2.53059645915e-06,8.76645778379e-07,1.1684601592e-26,7.57547154384e-20,8.72112404545e-13,1.28420928842e-13,7.61864987293e-06,0.0942144521889,0.000140550549794,5.13606635461e-07,2.01091903198e-10,0.000345892665666,1.81591090192e-12,3.98351397965e-09,5.1287764925e-06,1.11239682223e-18,4.03502476336e-09,6.44183696705e-13,1.01311244285e-05,1.14541841183e-09,0.000158880378778,6.19792685595e-15,6.21838880204e-08,7.06273545726e-14,3.67164754427e-21,2.03546753223e-19,1.52724914566e-17,1.64153177535e-15,4.46819374287e-15,-2.64719146311e-15,-2.13269833116e-14,2.30969192463e-10,2.13827537728e-19,-4.43765591435e-26,-2.90238100693e-16,4.9910088139e-24,4.81226768769e-22,7.39896740172e-19,-3.14688987747e-16,2.98497201879e-17,5.08944156926e-20,0.714794084572,-1.73823335073e-168,9.61042552599e-13,1.20011457283e-08,7.11231096532e-12,6.45290684732e-11
